Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:21:22;659,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:23:47;139,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,
Data,11/21/2023,16:21:24;519,149.909149,14550,158.95813,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;529,149.529388,14560,158.774933,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;539,149.106598,14572,158.600143,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;549,148.598328,14582,158.422806,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;559,148.173965,14591,158.253601,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;569,147.791382,14600,158.08194,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;579,147.408234,14611,157.921967,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;589,146.939224,14621,157.767715,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;599,146.512177,14630,157.620544,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;609,146.127213,14642,157.471222,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;619,145.613174,14650,157.328735,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;629,145.270035,14660,157.188568,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;639,144.840469,14672,157.046326,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;649,144.324265,14680,156.906403,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;659,143.979645,14690,156.751175,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;669,143.548447,14700,156.566849,85.018799,0.160386,0.160386,,,,,,,,
Data,11/21/2023,16:21:24;679,143.116699,14710,156.379837,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;689,142.684372,14722,156.201385,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;699,142.164963,14730,156.02034,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;709,141.818359,14741,155.847626,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;719,141.341171,14750,155.677643,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;729,140.950409,14760,155.505173,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;739,140.515747,14772,155.309937,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;749,139.993668,14780,155.047577,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;759,139.64534,14790,154.797256,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;769,139.209473,14800,154.543289,85.014679,0.158938,0.158938,,,,,,,,
Data,11/21/2023,16:21:24;779,138.773331,14810,154.30098,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;789,138.336761,14822,154.05513,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;799,137.812576,14831,153.820572,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;809,137.418991,14840,153.582581,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;819,137.025299,14850,153.333786,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;829,136.587524,14860,153.035828,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;839,136.149612,14873,152.742752,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;849,135.579788,14880,152.463104,85.004517,0.158381,0.158381,,,,,,,,
Data,11/21/2023,16:21:24;859,135.272827,14891,152.187927,85.004517,0.158381,0.158381,,,,,,,,
