Controller Name:,New_Controller2095709328,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:01:29;739,,,,,,,,,,,,
Stop Time:,11/21/2023,16:07:33;819,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,
Data,11/21/2023,16:01:32;009,100,0,100.728073,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;019,100,0,100.643265,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;029,100,0,100.559814,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;039,100,0,100.483696,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;049,100,0,100.412262,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;059,100,0,100.344101,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;069,100,0,100.277016,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;079,100,0,100.208961,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;089,100,0,100.144028,84.283539,0.241105,0.241105,,,,,,
Data,11/21/2023,16:01:32;099,100,0,100.078133,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;109,100,0,100.015282,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;119,100,0,99.941162,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;129,100,0,99.866432,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;139,100,0,99.790604,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;149,100,0,99.711533,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;159,100,0,99.644852,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;169,100,0,99.574829,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;179,100,0,99.503777,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;189,100,0,99.435982,84.276398,0.241151,0.241151,,,,,,
Data,11/21/2023,16:01:32;199,100,0,99.486832,84.272797,0.242397,0.242397,,,,,,
Data,11/21/2023,16:01:32;209,100,0,99.581863,84.272797,0.242397,0.242397,,,,,,
Data,11/21/2023,16:01:32;219,100,0,99.678284,84.272797,0.242397,0.242397,,,,,,
Data,11/21/2023,16:01:32;229,100,0,99.770279,84.272797,0.242397,0.242397,,,,,,
Data,11/21/2023,16:01:32;239,100,0,99.863625,84.272797,0.242397,0.242397,,,,,,
Data,11/21/2023,16:01:32;249,100,0,99.966454,84.272797,0.242397,0.242397,,,,,,
