Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,11:45:46;433,,,,,,,,,,,,,,
Stop Time:,11/21/2023,11:48:06;933,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,,,,,,,,,
Data,11/21/2023,11:45:48;173,168.578583,20939,134.073914,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;183,168.944748,20949,134.222031,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;193,169.309479,20960,134.363327,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;203,169.708832,20969,134.530655,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;213,170.03421,20980,134.756714,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;223,170.430115,20989,134.986069,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;233,170.752625,21000,135.20488,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;243,171.145004,21009,135.42688,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;253,171.4646,21020,135.638702,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;263,171.853394,21029,135.853622,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;273,172.169983,21040,136.058685,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;283,172.555176,21049,136.243179,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;293,172.868759,21060,136.353851,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;303,173.250183,21069,136.466141,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;313,173.56076,21080,136.573273,84.860748,0.201969,,,,,,,,,
Data,11/21/2023,11:45:48;323,173.938416,21089,136.681976,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;333,174.24588,21102,136.785706,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;343,174.687424,21109,136.890945,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;353,174.923981,21120,136.991333,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;363,175.293961,21129,137.099701,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;373,175.595016,21140,137.221039,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;383,175.960999,21150,137.344116,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;393,176.291809,21160,137.465195,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;403,176.62085,21170,137.580704,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;413,176.948029,21179,137.697906,84.880798,0.203315,,,,,,,,,
Data,11/21/2023,11:45:48;423,177.240906,21190,137.809723,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;433,177.596786,21201,137.923203,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;443,177.950394,21209,138.054184,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;453,178.206085,21219,138.263046,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;463,178.524078,21229,138.462311,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;473,178.840103,21239,138.664536,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;483,179.154236,21251,138.857452,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;493,179.528564,21259,139.053177,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;503,179.776642,21269,139.239883,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;513,180.084824,21279,139.429337,84.886108,0.202021,,,,,,,,,
Data,11/21/2023,11:45:48;523,180.391129,21289,139.580826,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;533,180.695404,21300,139.62886,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;543,181.027786,21309,139.677536,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;553,181.297974,21319,139.725464,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;563,181.596237,21329,139.771164,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;573,181.892426,21339,139.817566,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;583,182.186615,21350,139.861801,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;593,182.507813,21359,139.906738,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;603,182.768707,21370,139.961899,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;613,183.085373,21379,140.059128,84.897888,0.202757,,,,,,,,,
Data,11/21/2023,11:45:48;623,183.342529,21389,140.151871,84.900787,0.20407,,,,,,,,,
Data,11/21/2023,11:45:48;633,183.626251,21400,140.245972,84.900787,0.20407,,,,,,,,,
Data,11/21/2023,11:45:48;643,183.935913,21409,140.338531,84.900787,0.20407,,,,,,,,,
Data,11/21/2023,11:45:48;653,184.187393,21419,140.426849,84.900787,0.20407,,,,,,,,,
Data,11/21/2023,11:45:48;663,184.464783,21429,140.516464,84.900787,0.20407,,,,,,,,,
