Controller Name:,New_Controller1158935656,,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:47:00;651,,,,,,,,,,,,,
Stop Time:,8/18/2023,15:48:06;831,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,6618
Post-Samples:,0,,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,,,,,,
Data,8/18/2023,15:47:03;511,0.279099,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;521,0.279099,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;531,0.279099,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;541,0.279099,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;551,0.279099,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;561,0.279099,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;571,0.279099,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;581,0.280192,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;591,0.280192,199.592575,,,,,,,,,,,
Data,8/18/2023,15:47:03;601,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;611,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;621,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;631,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;641,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;651,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;661,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;671,0.280192,198.378479,,,,,,,,,,,
Data,8/18/2023,15:47:03;681,0.285183,195.516312,,,,,,,,,,,
Data,8/18/2023,15:47:03;691,0.285183,195.516312,,,,,,,,,,,
Data,8/18/2023,15:47:03;701,0.285183,195.516312,,,,,,,,,,,
Data,8/18/2023,15:47:03;711,0.285183,195.516312,,,,,,,,,,,
Data,8/18/2023,15:47:03;721,0.285183,195.516312,,,,,,,,,,,
Data,8/18/2023,15:47:03;731,0.285183,195.516312,,,,,,,,,,,
Data,8/18/2023,15:47:03;741,0.285183,195.516312,,,,,,,,,,,
